tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
1)#Communalism of any kind should be boycotted muslim who talk about extremist like #sadhvi and other #bigots should also #boycott extremism prevailing in there own community for example #Samajwadi taking support from Mr Tauker Raza and no Of example of such kind exist.,moinkhan4647,"['Communalism', 'sadhvi', 'bigots', 'boycott', 'Samajwadi']",2019-05-04,Sat,1124616349353799681,1,0,0.335
Actor-turned-politician and #Congress leader #ShatrughanSinha has said that he has done no wrong in campaigning for his wife #PoonamSinha who is the #Samajwadi candidate for the #Lucknow Lok Sabha seat. #LokSabhaElections2019,apnnewsindia,"['Congress', 'ShatrughanSinha', 'PoonamSinha', 'Samajwadi', 'Lucknow', 'LokSabhaElections2019']",2019-05-04,Sat,1124558042752794624,1,1,0.25
#IANSInterview Actor-turned-politician and #Congress leader #ShatrughanSinha has said that he has done no wrong in campaigning for his wife #PoonamSinha who is the #Samajwadi candidate for the #Lucknow Lok Sabha seat. #LokSabhaElections2019 #Dangal2019 Photo IANS,ians_india,"['IANSInterview', 'Congress', 'ShatrughanSinha', 'PoonamSinha', 'Samajwadi', 'Lucknow', 'LokSabhaElections2019', 'Dangal2019']",2019-05-04,Sat,1124553200361717760,1,0,0.25
Actor #SonakshiSinha campaigns for mother and #Samajwadi party candidate #PoonamSinha #DimpleYadav also present #Lucknow,zeesalaamtweet,"['SonakshiSinha', 'Samajwadi', 'PoonamSinha', 'DimpleYadav', 'Lucknow']",2019-05-03,Fri,1124268456663142401,0,0,0.0
Yashwant Sinha campaigns against Rajnath Singh in Lucknow calls him ‘weak leader #yashwantsebaat #YashwantSinha #rajnathsingh #LokSabhaElections2019 #Lucknow #poonamsinha #samajwadi,pennewstweet,"['yashwantsebaat', 'YashwantSinha', 'rajnathsingh', 'LokSabhaElections2019', 'Lucknow', 'poonamsinha', 'samajwadi']",2019-05-01,Wed,1123662253910138880,0,0,-0.375
Dismissed #BSF jawan #TejBahadurYadav's nomination as the #Samajwadi Party candidate against Prime Minister #NarendraModi from Varanasi #LokSabha constituency was rejected on Wednesday poll officials said.,dt_next,"['BSF', 'TejBahadurYadav', 'Samajwadi', 'NarendraModi', 'LokSabha']",2019-05-01,Wed,1123549802698985472,0,0,0.0
#RakeshYadav #Samajwadi Party (SP leader shot dead in Harduaganj #Aligarh last night. ',zeesalaamtweet,"['RakeshYadav', 'Samajwadi', 'Aligarh']",2019-05-01,Wed,1123439469921808385,1,0,-0.1
good morning My Friend #goodmorning #Chowkidar #ChowkidarChorHai #Akhilesh #Samajwadi,Anandsi17767467,"['goodmorning', 'Chowkidar', 'ChowkidarChorHai', 'Akhilesh', 'Samajwadi']",2019-05-01,Wed,1123426636152467456,2,0,0.7
And #Samajwadi party who is the worst in misogyny only second to Wahabbi followers still have #JayaBachchan as a name within them These are the people who claim to be better than 'Rakhwala' Really?,DrShwetaGulati,"['Samajwadi', 'JayaBachchan']",2019-05-01,Wed,1123397410468720640,3,2,-0.06
#Samajwadi Party fields suspended #BSF jawan Tej Bahadur Yadav to fight #Modi,newsinind,"['Samajwadi', 'BSF', 'Modi']",2019-04-30,Tue,1123112581932011520,0,0,0.0
The #Samajwadi Party on Monday nominated former #BSF constable #TejBahadurYadav who was dismissed after complaining about the quality of food as its candidate against Prime Minister #NarendraModi from #Varanasi.,dt_next,"['Samajwadi', 'BSF', 'TejBahadurYadav', 'NarendraModi', 'Varanasi']",2019-04-29,Mon,1122845716286562304,1,0,0.0
#UttarPradesh #Samajwadi Party fields sacked #BSF jawan #TejBahadur Yadav from #Varanasi - #LokSabhaElections2019,facenfacts,"['UttarPradesh', 'Samajwadi', 'BSF', 'TejBahadur', 'Varanasi', 'LokSabhaElections2019']",2019-04-29,Mon,1122823293029928962,1,1,0.0
The #Endgame ￼ has begun #MahaGathbandhan Sarkar Vote to #Samajwadi #Party ..... Let The Best Candidate of Etawah Constituency Youth Kamlesh Katheriya Win .......,Hemantrishi17,"['Endgame', 'MahaGathbandhan', 'Samajwadi', 'Party']",2019-04-28,Sun,1122544403636203521,0,0,0.9
You both are true #samajwadi,ANANDM81486565,['samajwadi'],2019-04-28,Sun,1122360681070641152,0,0,0.35
Give us strong support I’ll give you strong India Modi #NarendraModi #BJP #AICC #Congress #Sitapur #Samajwadi #bahujansamajparty #election #terrorism #EVM #NDA #UPA #Naxalism,pennewstweet,"['NarendraModi', 'BJP', 'AICC', 'Congress', 'Sitapur', 'Samajwadi', 'bahujansamajparty', 'election', 'terrorism', 'EVM', 'NDA', 'UPA', 'Naxalism']",2019-04-28,Sun,1122351446047899649,0,0,0.4333333333333333
Sir u r voice of youth india .we r with u Nd I m proudly says that we r #samajwadi,sarkar3011,['samajwadi'],2019-04-28,Sun,1122335112203399168,0,0,0.8
par kyun We want to fight this election on last 5 years of your rule why are you running away from that show us your achievements we can show you achievements of govt in UP this election should only on development agenda.,samajwadi_india,[],2019-05-07,Tue,1125683000023318528,0,0,0.0
Samajwadi Party to support AAP in two Delhi seats BSP in remaining five not in East Delhi to AAP,yashi349,[],2019-05-07,Tue,1125676424952713216,0,0,0.0
New level of chamchagiri 17 days to go.,samajwadi_india,[],2019-05-07,Tue,1125675247661981696,0,0,0.13636363636363635
